code,name,date,close,scale,type,slope_standard
159611,广发中证全指电力公用事业ETF行情,2023-07-07,0.944,36.52,指数型-股票,0.026359128897101937
159611,广发中证全指电力公用事业ETF行情,2023-07-10,0.951,36.52,指数型-股票,0.03762807529509707
159611,广发中证全指电力公用事业ETF行情,2023-07-11,0.945,36.52,指数型-股票,0.03732942167527293
159611,广发中证全指电力公用事业ETF行情,2023-07-12,0.944,36.52,指数型-股票,0.025735681576211186
159611,广发中证全指电力公用事业ETF行情,2023-07-13,0.948,36.52,指数型-股票,0.02120098239005657
159611,广发中证全指电力公用事业ETF行情,2023-07-14,0.937,36.52,指数型-股票,0.00025536655445179864
159611,广发中证全指电力公用事业ETF行情,2023-07-17,0.938,36.52,指数型-股票,-0.01584734624275207
159611,广发中证全指电力公用事业ETF行情,2023-07-18,0.93,36.52,指数型-股票,-0.04231295230415317
159611,广发中证全指电力公用事业ETF行情,2023-07-19,0.93,36.52,指数型-股票,-0.06765800077519497
159611,广发中证全指电力公用事业ETF行情,2023-07-20,0.92,36.52,指数型-股票,-0.08211353215328845
159611,广发中证全指电力公用事业ETF行情,2023-07-21,0.921,36.52,指数型-股票,-0.09798408450457097
159611,广发中证全指电力公用事业ETF行情,2023-07-24,0.926,36.52,指数型-股票,-0.09789341513922983
159611,广发中证全指电力公用事业ETF行情,2023-07-25,0.92,36.52,指数型-股票,-0.10552324039115372
159612,国泰标普500(QDII-ETF)行情,2023-06-28,1.183,1.49,QDII,0.03706192729441868
159612,国泰标普500(QDII-ETF)行情,2023-06-29,1.189,1.49,QDII,0.02614109199731519
159612,国泰标普500(QDII-ETF)行情,2023-06-30,1.194,1.49,QDII,0.01646690388214946
159612,国泰标普500(QDII-ETF)行情,2023-07-03,1.209,1.49,QDII,0.023826010353146573
159612,国泰标普500(QDII-ETF)行情,2023-07-04,1.204,1.49,QDII,0.02225340055022531
159612,国泰标普500(QDII-ETF)行情,2023-07-05,1.204,1.49,QDII,0.01953195242782168
159612,国泰标普500(QDII-ETF)行情,2023-07-06,1.202,1.49,QDII,0.0075317263786128345
159612,国泰标普500(QDII-ETF)行情,2023-07-07,1.194,1.49,QDII,-0.008976825297504544
159612,国泰标普500(QDII-ETF)行情,2023-07-10,1.186,1.49,QDII,-0.02762140297186759
159612,国泰标普500(QDII-ETF)行情,2023-07-11,1.191,1.49,QDII,-0.03613007330126443
159612,国泰标普500(QDII-ETF)行情,2023-07-12,1.196,1.49,QDII,-0.040528093208650175
159612,国泰标普500(QDII-ETF)行情,2023-07-13,1.203,1.49,QDII,-0.04436331922617213
159612,国泰标普500(QDII-ETF)行情,2023-07-14,1.201,1.49,QDII,-0.045025253501940095
159612,国泰标普500(QDII-ETF)行情,2023-07-17,1.206,1.49,QDII,-0.044168567159103396
159612,国泰标普500(QDII-ETF)行情,2023-07-18,1.213,1.49,QDII,-0.039596377376707195
159612,国泰标普500(QDII-ETF)行情,2023-07-19,1.232,1.49,QDII,-0.025771388402199318
159612,国泰标普500(QDII-ETF)行情,2023-07-20,1.224,1.49,QDII,-0.023702043832459278
159612,国泰标普500(QDII-ETF)行情,2023-07-21,1.219,1.49,QDII,-0.030705288998333802
159612,国泰标普500(QDII-ETF)行情,2023-07-24,1.221,1.49,QDII,-0.03300434436259566
159612,国泰标普500(QDII-ETF)行情,2023-07-25,1.218,1.49,QDII,-0.03576785787175178
159613,嘉实中证信息安全主题ETF行情,2023-06-28,0.926,0.94,指数型-股票,0.03574318259892617
159613,嘉实中证信息安全主题ETF行情,2023-06-29,0.931,0.94,指数型-股票,0.00043696340315342873
159613,嘉实中证信息安全主题ETF行情,2023-06-30,0.936,0.94,指数型-股票,-0.031685994479177096
159613,嘉实中证信息安全主题ETF行情,2023-07-03,0.942,0.94,指数型-股票,-0.05436693988819623
159613,嘉实中证信息安全主题ETF行情,2023-07-04,0.952,0.94,指数型-股票,-0.08822314081182951
159613,嘉实中证信息安全主题ETF行情,2023-07-05,0.936,0.94,指数型-股票,-0.13011279573824203
159613,嘉实中证信息安全主题ETF行情,2023-07-06,0.937,0.94,指数型-股票,-0.17807375206138623
159613,嘉实中证信息安全主题ETF行情,2023-07-07,0.915,0.94,指数型-股票,-0.2255735764907976
159613,嘉实中证信息安全主题ETF行情,2023-07-10,0.915,0.94,指数型-股票,-0.2732237561152927
159613,嘉实中证信息安全主题ETF行情,2023-07-11,0.921,0.94,指数型-股票,-0.2889590793083719
159613,嘉实中证信息安全主题ETF行情,2023-07-12,0.894,0.94,指数型-股票,-0.3172730267213069
159613,嘉实中证信息安全主题ETF行情,2023-07-13,0.902,0.94,指数型-股票,-0.33747515483325824
159613,嘉实中证信息安全主题ETF行情,2023-07-14,0.923,0.94,指数型-股票,-0.31485502186599024
159613,嘉实中证信息安全主题ETF行情,2023-07-17,0.931,0.94,指数型-股票,-0.2563762155614371
159613,嘉实中证信息安全主题ETF行情,2023-07-18,0.916,0.94,指数型-股票,-0.18899737681972706
159613,嘉实中证信息安全主题ETF行情,2023-07-19,0.911,0.94,指数型-股票,-0.1466395105671783
159613,嘉实中证信息安全主题ETF行情,2023-07-20,0.885,0.94,指数型-股票,-0.15587378127668813
159613,嘉实中证信息安全主题ETF行情,2023-07-21,0.879,0.94,指数型-股票,-0.16123352552522793
159613,嘉实中证信息安全主题ETF行情,2023-07-24,0.889,0.94,指数型-股票,-0.17756457558095787
159613,嘉实中证信息安全主题ETF行情,2023-07-25,0.903,0.94,指数型-股票,-0.17689297280772898
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-06-28,0.816,2.26,QDII,-0.11933089756498895
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-06-29,0.811,2.26,QDII,-0.1462866615159182
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-06-30,0.826,2.26,QDII,-0.14888144146566556
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-03,0.829,2.26,QDII,-0.15192434768125268
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-04,0.866,2.26,QDII,-0.13952746748578054
159615,南方恒生香港上市生物科技ETF(QDII)行情,2023-07-05,0.844,2.26,QDII,-0.1323233650537071
