date,open,close,high,low,volume,turnover,increase,increase_rate,increase_amount,exchange_rate,code
2019-04-29,21.03,20.27,21.3,20.27,25649,53074627.0,4.9,-3.52,-0.74,3.66,603348
2019-04-30,20.4,20.87,20.95,20.3,23386,48518990.0,3.21,2.96,0.6,3.34,603348
2019-05-06,20.22,19.64,20.78,19.02,34760,69808418.0,8.43,-5.89,-1.23,4.97,603348
2019-05-07,19.66,19.9,20.04,19.5,18025,35710007.0,2.75,1.32,0.26,2.58,603348
2019-05-08,19.65,19.83,19.95,19.33,14838,29300816.0,3.12,-0.35,-0.07,2.12,603348
2019-05-09,19.51,19.82,20.08,19.51,12914,25654679.0,2.87,-0.05,-0.01,1.84,603348
2019-05-10,20.05,20.22,20.3,19.58,25026,50271871.0,3.63,2.02,0.4,3.58,603348
2019-05-13,20.08,19.98,20.24,19.9,15961,32014252.0,1.68,-1.19,-0.24,2.28,603348
2019-05-14,20.01,19.56,20.08,19.5,16600,32882650.0,2.9,-2.1,-0.42,2.37,603348
2019-05-15,19.9,19.98,20.0,19.7,17924,35624485.0,1.53,2.15,0.42,2.56,603348
2019-05-16,20.02,20.19,20.36,19.9,22259,44980288.0,2.3,1.05,0.21,3.18,603348
2019-05-17,20.25,19.31,20.29,19.24,21846,42387670.0,5.2,-4.36,-0.88,3.12,603348
2019-05-20,19.29,18.98,19.29,18.51,13462,24947170.0,4.04,-1.71,-0.33,1.92,603348
2019-05-21,19.02,19.12,19.23,18.9,11679,21957666.0,1.74,0.74,0.14,1.67,603348
2019-05-22,19.17,18.73,19.2,18.66,13419,24931019.0,2.82,-2.04,-0.39,1.92,603348
2019-05-23,18.73,18.08,18.73,17.92,21582,38654446.0,4.32,-3.47,-0.65,3.08,603348
2019-05-24,17.95,18.23,18.3,17.9,13098,23361335.0,2.21,0.83,0.15,1.87,603348
2019-05-27,18.3,18.64,18.68,18.14,14505,26339095.0,2.96,2.25,0.41,2.07,603348
2019-05-28,18.64,20.47,20.47,18.5,35949,69972196.0,10.57,9.82,1.83,5.14,603348
2019-05-29,20.41,20.37,20.98,20.18,73926,150079135.0,3.91,-0.49,-0.1,10.56,603348
